States,State Abbrev,Region,Census,Estimates Base,Population,2011,2012,2013,2014,2015
Alabama,AL,South,4779736,4780127,4785161,4801108,4816089,4830533,4846411,4858979
Alaska,AK,West,710231,710249,714021,722720,731228,737442,737046,738432
Arizona,AZ,Southwest,6392017,6392307,6408208,6468732,6553262,6630799,6728783,6828065
Arkansas,AR,South,2915918,2915958,2922394,2938538,2949499,2957957,2966835,2978204
California,CA,West,37253956,37254503,37334079,37700034,38056055,38414128,38792291,39144818
Colorado,CO,West,5029196,5029324,5048254,5119480,5191731,5271132,5355588,5456574
Connecticut,CT,New England,3574097,3574118,3579717,3589759,3593541,3597168,3594762,3590886
Delaware,DE,Middle Atlantic,897934,897936,899791,907916,917099,925353,935968,945934
District of Columbia,DC,New England,601723,601767,605126,620472,635342,649540,659836,672228
Florida,FL,South,18801310,18804623,18849890,19105533,19352021,19594467,19905569,20271272
Georgia,GA,South,9687653,9688681,9713454,9812280,9917639,9991562,10097132,10214860
Hawaii,HI,West,1360301,1360301,1363980,1378227,1392641,1408765,1420257,1431603
Idaho,ID,West,1567582,1567652,1570986,1584134,1596097,1612785,1634806,1654930
Illinois,IL,Midwest,12830632,12831549,12841249,12861882,12875167,12889580,12882189,12859995
Indiana,IN,Midwest,6483802,6484229,6490590,6516845,6538283,6570518,6597880,6619680
Iowa,IA,Midwest,3046355,3046869,3050694,3065389,3076636,3092224,3109481,3123899
Kansas,KS,Midwest,2853118,2853132,2858824,2869917,2886281,2894630,2902507,2911641
Kentucky,KY,South,4339367,4339349,4347937,4367882,4382667,4398500,4412617,4425092
Louisiana,LA,South,4533372,4533479,4544951,4575381,4603676,4627491,4648990,4670724
Maine,ME,New England,1328361,1328361,1327695,1328257,1328888,1328778,1330256,1329328
Maryland,MT,Middle Atlantic,5773552,5773785,5788409,5844171,5890740,5936040,5975346,6006401
Massachusetts,NE,New England,6547629,6547817,6565036,6611797,6657780,6708810,6755124,6794422
Michigan,NV,Midwest,9883640,9884129,9877369,9876589,9886879,9900506,9916306,9922576
Minnesota,NH,Midwest,5303925,5303925,5310903,5348119,5380443,5420541,5457125,5489594
Mississippi,NJ,South,2967297,2968103,2970316,2977999,2985660,2990976,2993443,2992333
Missouri,NM,South,5988927,5988927,5996052,6010587,6025468,6043708,6063827,6083672
Montana,NY,West,989415,989417,990643,997746,1005157,1014402,1023252,1032949
Nebraska,NC,Midwest,1826341,1826341,1830025,1842383,1855973,1869300,1882980,1896190
Nevada,ND,West,2700551,2700691,2703440,2718819,2754874,2790366,2838281,2890845
New Hampshire,OH,New England,1316470,1316466,1316708,1318344,1321393,1322660,1327996,1330608
New Jersey,OK,Middle Atlantic,8791894,8791936,8803881,8842934,8874893,8907384,8938844,8958013
New Mexico,OR,Southwest,2059179,2059192,2064741,2078226,2084792,2086890,2085567,2085109
New York,MD,Middle Atlantic,19378102,19378087,19402920,19523202,19606981,19691032,19748858,19795791
North Carolina,MA,South,9535483,9535692,9558979,9651025,9747021,9845432,9940387,10042802
North Dakota,MI,Midwest,672591,672591,674530,685326,702265,723626,740040,756927
Ohio,MN,Midwest,11536504,11536725,11540766,11545442,11551783,11572232,11596998,11613423
Oklahoma,MS,Southwest,3751351,3751616,3759596,3786626,3817679,3853405,3879610,3911338
Oregon,MO,West,3831074,3831073,3837972,3868509,3899444,3928030,3971202,4028977
Pennsylvania,PA,Middle Atlantic,12702379,12702887,12712014,12745202,12772789,12783536,12793767,12802503
Rhode Island,RI,New England,1052567,1052931,1053219,1051856,1052393,1052856,1054907,1056298
South Carolina,SC,South,4625364,4625401,4635894,4672733,4721341,4768498,4829160,4896146
South Dakota,SD,Midwest,814180,814191,816299,824289,834631,845270,853304,858469
Tennessee,TN,South,6346105,6346275,6356585,6398408,6455469,6496130,6547779,6600299
Texas,TX,Southwest,25145561,25146105,25244363,25654464,26089741,26500674,26979078,27469114
Utah,UT,West,2763885,2763888,2775426,2816440,2856343,2903685,2944498,2995919
Vermont,VT,New England,625741,625745,625984,626687,626398,627129,626767,626042
Virginia,VA,South,8001024,8001045,8025787,8110783,8193374,8267875,8328098,8382993
Washington,WA,West,6724540,6724543,6743060,6823229,6897292,6973281,7063166,7170351
West Virginia,WV,South,1852994,1853011,1854225,1854948,1856283,1852985,1848751,1844128
Wisconsin,WI,Midwest,5686986,5687289,5690204,5709720,5726422,5743653,5759432,5771337
Wyoming,WY,West,563626,563767,564516,567768,577080,583131,584304,586107